algorithm,catboost,lgbm,tree
ArtificialBeeColonyAlgorithm,0.8868803428876024,0.905657282826067,0.8363246916422961
BatAlgorithm,0.8892586179700518,0.908800092829131,0.8415187353481364
CuckooSearch,0.8913989458817044,0.9049161727564632,0.8422896522715035
FireflyAlgorithm,0.8916949837820981,0.9068824460476004,0.843457558775163
FlowerPollinationAlgorithm,0.8906586335624448,0.9056286000750612,0.8459498396340502
GreyWolfOptimizer,0.8923872135124403,0.9125458570467646,0.8443357368584229
ParticleSwarmAlgorithm,0.8922988445311495,0.9115210379457204,0.844452172147272
original,0.8928851185112527,0.9091845359721948,0.8345847256192084
